APN,Registered Date,Property Type,Property Address,Property City,Property State,Property Zip,Council District,Lender,Lender Contact,Lender Contact Phone,Property Management,Property Management Contact,Property Management Address,Property Mgmt Contact Phone
2004005034,10/04/2015,Single Family,"8300 N SALE AVE
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,12,Fay Servicing,Tina McCluskey,800-468-1743,NULL,NULL,         ,NULL
2004010012,05/01/2015,Single Family,"22400 W MALDEN ST
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,12,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2004011022,28/01/2015,Single Family,"8400 N SALE AVE
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,12,NationStar,Paula Acosta,972-315-8837,MCS/687,MCS Advantage Conveyance,1906   Irvine AVE  Newport Beach CA 92660 ,949-642-4801
2004012013,24/07/2015,Single Family,"8509 N SALE AVE
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,12,Celink,Cory Daggett,866-654-0020,Connie Renteria /  Five Brothers,Connie Renteria,5228   Halifax RD  Temple City CA 91780 ,626-453-0397
2004019004,13/04/2015,Single Family,"8432 N RUDNICK AVE
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,12,Federal National Mortgage Association,N/A N/a,800-732-6643,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-804-7437
2004023015,08/01/2015,Single Family,"8909 N FARRALONE AVE
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,12,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,LPS,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,281-404-7816
2004024038,30/01/2015,Single Family,"8809 N FARRALONE AVE
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,12,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403 ,323-363-4863
2005008006,13/01/2015,Single Family,"8423 N DENISE LANE
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,12,"Ocwen Loan Servicing, LLC",Ivonne Pettegrew,770-612-7007,PPS,Trevethan Aaron,30011   Ivy Glenn DR 224 Laguna Niguel CA 92677 ,949-612-0342
2005009002,19/11/2015,Single Family,"8325 N DENISE LANE
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,12,Caliber Home Loans,Kandyce Hughes,214-874-4174,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-804-7437
2005012021,18/08/2015,Single Family,"8404 N JOAN LANE
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,12,Solutionstar Field Services,Paula Acosta,888-456-0714,"Cyprexx Services, LLC",Property Registrations,525   Grand Regency BLVD  Brandon FL 33510 ,877-339-8202
2005018009,19/08/2015,Single Family,"8349 N HILLARY DR
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,12,"Deutsche Bank, C/O Select Portfolio Servicing",N/A N/A,888-349-8964,Safeguard Properties,NA NA,7887   Safeguard Cir  Valley View OH 44125 ,877-340-0060
2010006025,05/01/2015,Single Family,"22046 W BAHAMA ST
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,12,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2010009009,10/05/2015,Single Family,"8800 N HANNA AVE
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,12,bayview,Willie Walton,714-848-7920,Law Offices of Les Zieve,Dawn Talavera,30   Corporate PARK 450 IRVINE CA 92606 ,714-848-7920
2010012024,12/02/2015,Single Family,"8620 N SANTA SUSANNA PL
LOS ANGELES, CA 91304",LOS ANGELES,CA,91304,12,Capital One,Levitia Costner,800-468-1743,Assurant Field Asset Services c/o New Beginning Properties,Lourdes Chavez,999  W Marshall BCH  San Bernardino CA 92405 ,909-289-1453
2010014010,07/01/2015,Single Family,"22161 W NAPA ST
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,12,NATIONSTAR MORTGAGE LLC,Paula Acosta,800-468-1743,NULL,NULL,         ,NULL
2012002009,19/01/2015,Single Family,"22156 W ROSCOE BLVD
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,3,CALIBER HOME LOANS,DENA GRIMES,405-945-1400,EDWARD ZUBIA,EDWARD ZUBIA,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,213-804-7437
2012018005,13/05/2015,Single Family,"7828 N SHOUP AVE
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,3,Select Portfolio Servicing,Code Violations,888-349-8964,Safeguard Properties,Safeguard Properties,3540   WILSHIRE BLVD 1109 LOS ANGELES CA 90010 ,800-852-8306
2012029017,08/01/2015,Single Family,"7909 N FARRALONE AVE
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,3,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2013015018,22/04/2015,Single Family,"7643 N SAUSALITO AVE
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,12,Green Tree,Jeremy Iverson,480-383-0648,Connie Renteria /  Five Brothers,Connie Renteria,5228   Halifax RD  Temple City CA 91780 ,626-453-0397
2013018024,09/01/2015,Single Family,"7730 N VICKY AVE
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,12,Capital One,Levitia Costner,800-468-1743,Assurant Field Asset Services c/o New Beginning Properties,Lourdes Chavez,999  W Marshall BCH  San Bernardino CA 92405 ,909-289-1453
2014003012,05/01/2015,Single Family,"22838 W ROSCOE BLVD
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,12,Wells Fargo Bank N.A.,Amy Whitcomb,877-617-5274,Lender Processing Services,Jonathon Holt,1003  E Brier DR  San Bernardino CA 92408 ,877-617-8274
2014012017,25/02/2015,Single Family,"7934 N MCLAREN AVE
LOS ANGELES, CA 93063",LOS ANGELES,CA,93063,12,JP Morgan Chase NA,Amy Lott,888-310-1506,MCS,MCS Standard Field Services LLC,4646   Natick AVE 201 Sherman Oaks CA 91403 ,323-363-4863
